amount,hour,customer_age_days,previous_transactions,previous_failures,avg_amount,amount_ratio,transactions_10min,transactions_1h,new_device,new_location,is_weekend,fraud
487.84,22,1269,21,0,979.72,0.498,1,4,0,0,0,0
2177.73,9,944,29,0,934.42,2.331,0,2,0,0,1,0
1896.33,7,1665,34,0,741.05,2.559,3,7,0,0,0,0
1327.87,11,656,28,1,1161.26,1.143,0,0,0,0,0,0
345.51,22,945,22,0,946.13,0.365,2,3,0,0,1,0
1321.12,20,1023,30,0,701.65,1.883,1,3,0,0,0,0
572.19,18,512,34,1,1213.22,0.472,1,3,0,0,0,0
1152.27,9,619,25,0,886.2,1.3,0,1,0,0,0,0
403.41,16,1319,29,0,1026.41,0.393,3,5,0,0,0,0
1041.58,20,1185,34,1,613.54,1.698,0,2,1,0,1,0
739.18,11,1598,26,0,222.12,3.328,1,5,0,0,0,0
585.21,10,1438,28,0,926.28,0.632,0,1,0,0,0,0
1243.81,20,577,30,2,438.81,2.835,1,1,0,0,0,0
872.87,8,1321,35,1,1421.94,0.614,3,5,0,0,0,0
802.13,21,239,35,1,710.38,1.129,3,3,0,0,0,0
1346.76,14,74,39,0,475.45,2.833,1,3,0,0,0,0
2558.5,18,587,22,1,638.12,4.009,0,2,0,0,1,0
1044.84,12,587,32,1,808.43,1.292,0,4,0,0,1,0
332.52,18,751,25,0,1383.43,0.24,2,4,0,0,0,0
381.06,21,1498,28,1,1493.6,0.255,0,2,0,0,0,0
932.53,14,239,23,0,869.19,1.073,3,4,0,0,0,0
1579.02,9,1597,29,2,640.85,2.464,1,3,0,0,0,0
966.89,7,1385,30,1,1050.84,0.92,0,2,0,0,0,0
1189.59,21,1772,33,0,691.52,1.72,3,3,0,0,1,0
869.27,22,1150,26,2,1473.83,0.59,2,6,0,0,0,0
1524.09,17,541,32,0,558.23,2.73,1,3,0,0,0,0
1260.34,6,1216,30,0,2067.66,0.61,3,5,0,1,0,0
512.47,21,1069,26,1,991.31,0.517,0,1,0,0,0,0
1148.59,14,802,32,0,719.17,1.597,0,1,1,0,1,0
384.35,9,890,34,0,1305.14,0.294,2,7,0,0,0,0
1148.73,12,358,21,0,1098.95,1.045,1,2,0,0,0,0
768.64,22,1558,30,1,1164.9,0.66,0,2,0,0,1,0
980.81,19,1555,35,0,1029.87,0.952,0,3,0,0,1,0
1072.99,16,1534,27,0,989.35,1.085,0,3,0,0,0,0
1048.27,18,737,31,0,1438.65,0.729,1,2,0,0,1,0
1957.87,20,410,28,1,657.26,2.979,1,3,0,0,1,0
914.84,16,1706,33,0,1380.23,0.663,1,5,0,0,0,0
996.16,11,955,30,0,703.47,1.416,3,3,0,0,1,0
1865.71,7,1599,21,0,1148.64,1.624,2,2,0,0,0,0
2548.45,8,369,22,0,1700.44,1.499,1,2,0,0,1,0
889.14,10,1694,27,0,1466.66,0.606,1,1,0,0,0,0
677.46,19,1227,31,0,805.95,0.841,1,2,0,0,0,0
696.19,7,1517,32,1,406.4,1.713,1,3,0,0,0,0
1150.44,8,306,26,0,1269.04,0.907,0,1,0,0,0,0
802.83,22,1532,34,0,538.64,1.49,0,5,0,0,1,0
343.06,12,1297,30,0,946.97,0.362,1,3,0,0,0,0
1665.16,8,611,25,0,715.99,2.326,0,4,0,0,0,0
1405.94,20,1507,25,1,1238.59,1.135,1,3,0,0,0,0
1686.91,22,733,34,0,607.88,2.775,1,3,0,0,0,0
1880.45,14,397,19,0,501.52,3.75,3,4,0,0,0,0
997.09,7,371,34,0,331.71,3.006,1,6,0,0,1,0
1036.19,16,1102,29,2,954.54,1.086,0,1,0,0,1,0
22473.1,4,74,30,3,722.71,31.096,9,22,0,1,1,1
460.23,22,883,28,0,617.49,0.745,0,1,0,0,1,0
739.62,15,1296,38,0,809.04,0.914,1,3,0,0,0,0
869.02,22,99,22,1,982.37,0.885,1,5,0,0,0,0
10232.71,1,682,32,3,1078.31,9.49,12,14,1,1,0,1
667.65,8,1447,33,0,458.61,1.456,3,4,0,0,1,0
606.87,16,1246,30,0,1170.91,0.518,1,2,0,0,0,0
708.37,17,1001,28,1,1220.67,0.58,1,2,0,0,0,0
1162.46,19,843,34,1,259.69,4.476,2,4,0,0,0,0
864.76,15,1147,35,0,1084.68,0.797,1,2,0,0,0,0
404.28,18,1485,20,0,1181.57,0.342,1,6,0,0,1,0
450.58,15,177,36,1,675.2,0.667,0,1,0,0,0,0
967.9,10,545,41,0,502.06,1.928,1,4,0,0,1,0
985.79,14,951,28,0,915.85,1.076,2,7,1,0,1,0
911.57,21,999,30,2,476.26,1.914,0,1,0,0,0,0
693.05,20,1749,39,0,1355.19,0.511,0,1,0,0,0,0
1384.65,16,632,25,0,867.45,1.596,1,3,1,0,1,0
1099.86,11,1176,29,1,1714.53,0.641,0,3,0,0,0,0
1079.44,9,1629,22,0,649.03,1.663,1,3,0,0,0,0
1100.72,10,1088,40,0,1170.23,0.941,1,3,0,0,0,0
2161.54,11,344,25,0,913.08,2.367,2,6,0,0,1,0
511.14,22,1476,31,0,620.83,0.823,0,4,0,0,0,0
712.24,15,671,28,1,581.85,1.224,0,2,0,0,0,0
746.21,12,484,41,1,1168.33,0.639,2,4,0,0,0,0
1793.13,20,790,34,1,1276.49,1.405,1,2,1,0,1,0
731.02,12,1466,41,0,1236.76,0.591,1,2,0,0,0,0
580.65,19,1219,31,2,682.22,0.851,0,1,0,0,0,0
847.09,16,832,36,0,678.54,1.248,1,1,0,0,0,0
951.0,11,941,27,0,2981.2,0.319,2,3,0,0,0,0
1733.7,22,1724,21,2,1072.93,1.616,1,4,0,0,0,0
728.63,17,88,33,1,1139.27,0.64,2,5,0,0,0,0
615.17,22,498,24,4,1017.59,0.605,0,4,0,0,1,0
544.35,6,688,30,0,1277.26,0.426,1,2,0,0,0,0
742.96,10,1371,26,0,916.16,0.811,0,3,0,0,1,0
3677.58,11,773,28,1,730.59,5.034,1,5,0,0,0,0
1108.02,17,1048,36,0,453.2,2.445,0,1,0,0,1,0
1247.69,20,1075,28,1,347.03,3.595,3,5,0,0,0,0
897.7,8,1290,24,0,587.57,1.528,1,5,0,0,0,0
968.32,8,887,25,1,346.47,2.795,0,2,0,0,1,0
1383.79,17,494,35,1,537.53,2.574,0,2,0,0,0,0
1223.5,12,1124,29,1,875.08,1.398,1,3,0,0,1,0
1087.93,17,422,24,0,638.6,1.704,1,2,0,1,0,0
905.84,6,1631,23,0,1087.66,0.833,2,3,0,0,0,0
739.69,14,388,26,0,614.54,1.204,0,3,0,0,0,0
1133.87,6,1252,29,0,1021.89,1.11,2,5,0,0,1,0
940.07,22,1506,23,0,690.89,1.361,4,5,0,0,1,0
2901.61,8,1293,30,0,213.57,13.586,2,5,1,0,0,0
1600.11,9,948,19,0,1951.4,0.82,1,2,0,0,0,0
619.64,7,1762,32,0,722.06,0.858,2,3,0,0,0,0
471.89,9,1300,36,1,641.93,0.735,0,2,0,0,1,0
721.25,14,748,25,0,423.41,1.703,0,0,0,1,0,0
494.83,16,633,27,2,1080.41,0.458,3,5,0,0,0,0
697.8,21,581,21,1,1332.54,0.524,0,4,0,0,1,0
526.76,20,420,27,0,651.46,0.809,0,4,0,0,0,0
750.05,7,1162,32,2,702.0,1.068,0,4,1,0,0,0
754.97,13,1111,27,0,1181.67,0.639,1,2,0,0,1,0
973.55,20,1136,34,0,607.52,1.602,0,0,0,0,0,0
801.29,8,1356,30,0,1619.52,0.495,2,6,0,0,1,0
546.61,17,490,28,0,1224.87,0.446,1,2,0,0,1,0
1751.44,13,1530,41,0,951.45,1.841,2,2,0,0,1,0
1120.63,8,765,35,0,523.27,2.142,1,6,1,0,1,0
665.5,7,757,25,0,1090.08,0.611,1,2,0,0,1,0
551.49,10,892,30,0,464.03,1.188,0,1,0,0,0,0
400.62,6,164,31,0,968.3,0.414,2,3,0,0,0,0
384.81,9,684,24,1,369.24,1.042,3,6,0,0,1,0
1597.35,15,1743,29,0,1346.87,1.186,3,6,0,0,0,0
1506.74,19,1591,29,0,1624.56,0.927,2,3,0,0,0,0
651.1,14,284,37,0,613.26,1.062,1,2,0,0,0,0
1903.4,18,185,33,0,1422.33,1.338,1,2,0,0,1,0
1260.45,7,879,33,0,463.07,2.722,1,3,0,0,0,0
1004.04,11,557,32,0,757.01,1.326,0,0,0,1,1,0
1442.4,17,1207,30,0,1023.78,1.409,1,1,0,0,1,0
1261.62,6,1052,41,0,917.18,1.376,2,2,0,0,1,0
977.04,15,525,26,0,776.64,1.258,0,0,0,0,0,0
786.8,8,628,29,0,1108.29,0.71,2,4,0,0,1,0
846.44,13,781,37,0,1216.14,0.696,0,3,0,0,0,0
370.78,16,1361,25,2,853.5,0.434,1,3,0,0,1,0
578.01,22,1339,25,0,760.9,0.76,4,4,0,0,0,0
30825.83,2,933,25,2,543.18,56.75,10,32,1,1,0,1
569.58,15,113,22,0,760.03,0.749,3,5,0,0,0,0
324.45,15,672,33,2,670.01,0.484,1,4,0,0,0,0
1476.13,7,1073,28,0,1257.86,1.174,2,2,0,0,0,0
1029.41,16,1515,24,0,863.86,1.192,0,2,0,0,0,0
1061.76,7,963,37,0,1424.53,0.745,1,2,0,0,0,0
823.33,17,483,30,1,389.29,2.115,2,3,0,0,0,0
1481.66,9,1280,33,0,1600.36,0.926,1,1,0,0,0,0
2082.49,8,1017,27,0,661.11,3.15,1,5,0,0,1,0
673.98,7,521,30,1,1276.09,0.528,0,1,0,0,0,0
1271.67,13,1220,33,1,721.93,1.761,0,2,0,0,1,0
1661.0,10,928,24,1,1081.66,1.536,0,1,0,0,0,0
653.43,13,322,28,0,815.83,0.801,1,2,0,0,0,0
2059.6,21,1760,36,0,1019.53,2.02,1,4,0,0,0,0
1657.96,20,558,36,0,888.47,1.866,1,1,0,0,0,0
453.45,18,1730,34,1,1770.0,0.256,1,3,0,0,0,0
2158.65,13,1050,25,0,780.6,2.765,2,6,0,0,0,0
466.72,7,1401,29,0,1246.49,0.374,5,6,0,0,0,0
615.17,12,1024,30,1,980.89,0.627,1,3,0,0,0,0
1307.69,6,1352,24,0,479.08,2.73,0,2,0,0,0,0
1592.09,8,813,35,0,1143.21,1.393,2,5,0,0,0,0
947.92,11,1543,27,1,1056.39,0.897,3,3,0,0,0,0
634.97,17,656,23,0,533.43,1.19,2,3,0,0,1,0
778.16,19,1323,20,0,379.72,2.049,2,6,0,0,1,0
4968.66,1,1625,33,4,1134.24,4.381,9,25,1,1,1,1
1426.06,10,1761,24,1,896.1,1.591,0,4,0,0,0,0
718.21,18,1484,35,1,700.95,1.025,2,7,0,1,0,0
627.34,22,1085,34,0,800.77,0.783,1,5,0,0,0,0
398.42,17,1381,33,0,1237.73,0.322,1,4,0,0,0,0
647.54,18,1375,41,0,577.13,1.122,0,1,0,0,1,0
841.26,20,110,28,1,677.61,1.242,0,2,0,0,1,0
482.16,18,1040,26,1,936.62,0.515,3,3,0,0,1,0
343.92,20,1613,24,1,1076.4,0.32,3,3,0,0,1,0
1539.14,11,585,25,1,1012.86,1.52,1,1,0,1,0,0
517.89,11,1094,33,0,2419.96,0.214,2,5,0,0,0,0
436.97,8,1640,25,1,1049.48,0.416,0,1,0,1,0,0
2128.64,9,1113,30,1,1342.91,1.585,0,4,0,0,1,0
1432.0,15,1480,31,1,255.81,5.598,1,3,0,0,0,0
1578.16,21,268,29,0,2042.91,0.773,2,7,0,0,1,0
1185.43,9,1372,30,1,1470.3,0.806,0,1,0,0,0,0
1846.88,18,307,40,2,401.74,4.597,0,1,0,0,0,0
1459.53,7,1561,22,0,470.4,3.103,1,5,0,0,0,0
742.9,22,443,22,1,793.96,0.936,1,2,0,0,0,0
499.81,14,1275,36,0,974.62,0.513,1,4,0,0,0,0
443.31,14,223,29,0,1203.99,0.368,0,3,0,0,0,0
831.45,12,536,31,0,1101.06,0.755,2,5,0,0,0,0
490.29,22,635,25,1,494.3,0.992,1,4,0,0,0,0
578.98,13,721,23,0,939.47,0.616,0,2,0,0,1,0
825.71,8,764,29,0,1226.87,0.673,2,4,0,0,0,0
1936.88,15,1560,31,1,772.63,2.507,1,7,0,0,0,0
391.19,16,538,20,0,777.05,0.503,1,2,0,0,0,0
912.65,18,772,24,1,1331.34,0.686,0,3,0,0,0,0
451.11,14,324,34,0,628.39,0.718,0,5,0,1,1,0
661.17,10,563,27,0,622.93,1.061,2,2,0,0,1,0
1497.3,6,1717,30,0,1183.4,1.265,0,2,0,0,0,0
7158.5,3,1615,31,4,732.68,9.77,14,12,1,0,0,1
776.77,9,693,34,0,1279.4,0.607,0,0,0,0,0,0
970.26,11,487,27,0,531.33,1.826,2,3,0,0,1,0
1320.34,8,196,31,0,750.21,1.76,1,1,0,0,1,0
664.25,10,223,25,1,716.38,0.927,2,5,0,0,0,0
1796.2,7,1450,30,0,1647.36,1.09,1,3,0,0,1,0
702.87,11,1204,39,0,632.28,1.112,0,0,0,0,0,0
1171.91,22,1670,34,0,1032.37,1.135,0,3,0,0,0,0
808.8,9,1743,35,0,847.54,0.954,0,1,0,0,0,0
1349.51,22,1688,28,0,723.91,1.864,2,5,0,0,0,0
2738.4,16,1123,32,1,1434.35,1.909,0,0,0,0,0,0
770.72,21,209,31,1,1170.44,0.658,1,2,0,0,0,0
889.97,16,1347,26,0,1170.17,0.761,0,1,0,0,0,0
707.96,22,644,33,0,811.37,0.873,1,1,0,0,0,0
650.49,15,1581,36,0,819.94,0.793,0,2,1,0,0,0
611.18,20,53,30,0,1374.31,0.445,4,4,0,0,0,0
888.69,6,590,33,0,1601.6,0.555,3,4,0,1,0,0
585.61,21,750,31,0,757.04,0.774,1,3,0,0,0,0
595.47,6,1235,28,0,710.8,0.838,0,2,0,1,0,0
157.43,9,288,31,1,476.03,0.331,0,1,0,0,0,0
1923.16,18,477,20,0,536.86,3.582,2,4,0,0,0,0
2217.4,10,85,28,0,1132.6,1.958,0,2,0,0,1,0
1282.82,6,1045,24,1,394.29,3.253,1,6,0,0,1,0
555.22,20,781,32,1,1126.22,0.493,0,2,0,0,1,0
448.13,14,1642,34,0,749.24,0.598,1,4,0,0,1,0
379.75,14,465,26,0,567.87,0.669,1,4,0,0,1,0
1276.07,11,383,29,0,807.9,1.579,1,1,0,0,0,0
1800.67,18,1199,25,0,574.38,3.135,0,1,0,0,1,0
983.73,11,1238,35,0,457.1,2.152,2,5,0,0,1,0
1439.15,15,1546,41,1,777.94,1.85,1,1,0,0,0,0
1146.73,8,576,26,2,1221.23,0.939,1,2,0,0,0,0
587.58,11,1375,27,0,741.49,0.792,0,0,0,0,0,0
1564.32,6,776,23,0,454.84,3.439,0,3,0,0,0,0
1510.3,10,244,46,0,1405.3,1.075,2,6,0,0,1,0
520.73,12,447,39,0,537.79,0.968,0,0,0,0,1,0
1399.55,18,1402,32,0,1041.28,1.344,0,2,0,0,1,0
827.84,19,1155,33,0,1832.76,0.452,2,3,0,0,1,0
777.83,15,1225,28,2,338.65,2.297,0,1,0,0,0,0
1113.02,21,1770,30,1,348.4,3.195,0,0,0,0,0,0
1094.27,12,300,24,1,1308.42,0.836,0,2,0,0,0,0
1463.78,14,1309,29,0,1764.08,0.83,1,5,1,0,0,0
562.78,16,1450,36,0,1249.88,0.45,0,4,0,0,0,0
1225.47,9,1747,38,0,978.19,1.253,0,1,0,0,1,0
474.38,13,970,34,2,1956.19,0.243,0,2,0,0,0,0
813.78,21,1772,29,0,1143.42,0.712,0,1,0,0,1,0
844.17,14,1363,39,0,617.21,1.368,1,4,0,0,1,0
1530.77,21,745,30,0,2228.13,0.687,0,2,0,0,0,0
902.43,17,48,24,0,1029.11,0.877,2,4,0,0,1,0
777.43,8,267,28,0,905.95,0.858,0,3,0,0,0,0
1966.99,13,1694,32,2,421.64,4.665,0,0,0,0,0,0
709.14,12,1313,41,0,1478.99,0.479,1,2,0,1,0,0
692.89,22,1482,39,1,599.82,1.155,1,1,0,0,0,0
319.87,11,496,28,0,556.63,0.575,2,5,0,0,1,0
796.9,14,1112,23,0,447.44,1.781,1,2,0,0,0,0
535.49,17,1504,33,1,880.74,0.608,0,4,0,0,1,0
782.19,22,1746,27,0,609.38,1.284,1,3,0,0,1,0
1024.52,15,1172,30,0,584.61,1.752,2,3,0,0,1,0
494.33,20,1355,34,0,561.08,0.881,2,4,0,0,0,0
570.98,7,1223,41,0,728.66,0.784,2,4,0,1,1,0
372.52,21,895,24,0,470.85,0.791,2,4,0,0,0,0
678.31,9,848,27,0,1042.73,0.651,4,6,0,0,0,0
534.07,18,1492,30,1,594.26,0.899,0,1,0,0,0,0
2919.9,15,825,21,1,565.66,5.162,2,3,0,0,0,0
2053.34,16,349,30,0,422.38,4.861,3,7,0,0,0,0
17359.03,2,1363,27,1,1928.6,9.001,8,9,1,1,0,1
440.48,15,1270,33,0,770.43,0.572,2,3,0,1,0,0
814.4,7,664,35,0,692.1,1.177,0,1,0,0,1,0
463.24,15,173,29,1,560.89,0.826,2,4,0,0,0,0
2473.9,12,1235,29,0,1572.12,1.574,0,1,0,0,0,0
1418.13,9,37,22,0,988.54,1.435,1,4,0,0,0,0
503.25,14,487,27,1,1254.35,0.401,0,0,0,0,1,0
1100.16,9,1050,31,0,1099.73,1.0,0,5,0,0,0,0
397.26,7,1264,20,1,1166.44,0.341,1,2,0,0,0,0
832.92,6,1505,32,0,716.29,1.163,2,4,0,0,0,0
815.21,11,1191,36,1,1148.71,0.71,2,2,0,0,0,0
1348.58,18,594,24,0,1305.87,1.033,1,2,0,0,0,0
1545.82,15,237,37,0,1213.9,1.273,0,4,0,0,0,0
907.94,8,98,30,1,1189.17,0.764,2,2,0,0,0,0
793.77,13,1594,26,0,850.59,0.933,2,6,1,0,0,0
151.5,15,1189,29,0,781.09,0.194,1,4,1,0,1,0
2119.99,9,284,22,0,1104.71,1.919,1,3,0,0,0,0
625.36,8,257,35,1,1047.63,0.597,0,0,0,0,0,0
949.73,10,1253,25,1,894.71,1.061,3,4,0,0,0,0
3110.38,7,340,29,1,1300.67,2.391,2,6,0,0,0,0
465.57,10,1071,25,1,962.12,0.484,2,4,0,0,0,0
908.41,15,1038,37,0,563.83,1.611,2,2,0,0,0,0
1180.0,19,1018,30,0,546.52,2.159,2,4,0,0,0,0
1637.38,20,802,29,1,1061.31,1.543,1,6,0,0,0,0
898.45,17,551,28,0,668.42,1.344,0,3,0,0,0,0
1713.97,12,304,25,1,1850.93,0.926,0,2,0,0,0,0
714.37,21,1007,24,0,918.09,0.778,2,2,0,0,0,0
1210.68,21,293,37,2,614.93,1.969,0,0,0,0,0,0
1127.41,12,940,28,0,496.32,2.272,0,3,0,0,0,0
853.96,6,291,30,0,1554.83,0.549,0,5,0,0,0,0
1072.69,13,432,25,0,417.83,2.567,2,2,0,0,0,0
555.01,13,1665,26,0,882.93,0.629,1,3,0,0,0,0
761.84,17,207,33,1,1074.33,0.709,0,0,1,0,0,0
442.4,8,1657,29,0,395.22,1.119,1,2,0,0,0,0
704.26,15,579,21,1,505.92,1.392,1,3,0,0,0,0
1679.08,11,820,31,0,584.34,2.873,1,2,0,0,1,0
1131.42,14,603,31,0,2193.75,0.516,0,2,0,0,0,0
1063.54,6,109,28,1,841.21,1.264,1,4,0,0,0,0
372.64,14,1324,26,2,1002.16,0.372,0,0,0,0,0,0
1070.66,6,1141,32,0,1819.18,0.589,0,0,0,0,1,0
867.38,20,1547,33,0,738.41,1.175,0,2,0,0,0,0
1206.62,18,1524,25,0,311.57,3.873,1,3,0,0,0,0
1921.32,21,664,36,0,278.99,6.887,2,4,0,0,0,0
717.01,17,1288,30,0,538.91,1.33,1,4,0,0,0,0
754.77,22,1561,27,1,1142.11,0.661,5,7,0,0,0,0
1487.68,9,1182,26,1,1773.31,0.839,0,0,0,0,1,0
644.27,6,1702,29,0,1105.95,0.583,2,4,0,0,1,0
942.06,21,1447,37,1,639.78,1.472,2,3,0,0,0,0
299.43,17,1769,31,0,567.39,0.528,1,3,1,0,1,0
757.91,17,363,33,0,2028.11,0.374,1,3,0,0,0,0
1840.44,10,404,35,0,2879.03,0.639,1,4,0,0,1,0
1079.76,11,1350,29,0,890.2,1.213,0,0,0,0,0,0
1472.45,17,1645,28,1,1149.8,1.281,1,3,0,0,0,0
1519.25,12,363,26,0,921.51,1.649,1,6,0,0,1,0
1885.77,7,934,46,0,756.87,2.492,0,2,0,0,0,0
741.78,10,1367,26,0,856.47,0.866,1,4,0,0,1,0
1507.57,12,81,29,0,443.6,3.399,0,2,0,0,1,0
3090.82,20,738,24,0,585.77,5.276,3,7,0,0,0,0
884.95,11,1709,23,1,987.52,0.896,1,5,0,0,0,0
434.5,14,80,18,0,1549.58,0.28,2,3,0,0,0,0
647.28,16,715,22,0,872.33,0.742,3,5,0,0,0,0
1161.64,8,115,20,0,2943.9,0.395,0,5,0,0,0,0
359.98,15,680,32,0,578.87,0.622,0,1,0,0,0,0
590.43,9,1606,25,1,957.81,0.616,3,4,0,0,0,0
748.91,20,670,26,1,1303.26,0.575,0,4,0,0,0,0
953.77,11,195,29,0,690.3,1.382,0,3,0,0,0,0
2411.68,11,324,29,0,1458.97,1.653,1,4,0,0,0,0
1310.68,12,1633,21,0,2307.88,0.568,1,6,0,0,0,0
486.57,12,1621,23,0,494.92,0.983,0,3,1,0,1,0
7534.02,16,1786,41,1,742.16,10.151,1,2,0,0,0,0
889.73,18,1187,27,1,455.09,1.955,1,5,0,0,0,0
356.3,22,1594,27,0,449.14,0.793,3,6,0,0,0,0
507.19,21,1176,34,0,1517.98,0.334,1,1,0,0,1,0
508.85,10,1190,29,0,1223.16,0.416,2,5,0,0,0,0
427.78,16,1087,35,1,598.99,0.714,2,4,0,0,0,0
1190.5,11,805,32,1,1218.83,0.977,1,5,0,0,0,0
207.1,19,814,27,0,405.14,0.511,0,0,1,0,0,0
1541.08,6,997,30,0,897.7,1.717,1,2,0,0,1,0
1405.19,22,710,26,0,732.84,1.917,0,1,0,0,1,0
698.5,12,1080,31,0,906.58,0.77,1,4,0,0,0,0
1485.7,18,539,35,0,713.87,2.081,0,6,0,0,0,0
492.25,17,501,25,2,649.9,0.757,1,2,0,1,0,0
564.94,12,938,35,1,1323.92,0.427,1,1,0,0,0,0
1214.7,22,1652,28,0,821.1,1.479,0,4,0,0,0,0
800.11,10,968,30,0,1038.73,0.77,1,4,1,0,1,0
636.63,18,81,32,1,599.06,1.063,2,5,0,0,0,0
843.5,21,1796,30,2,378.9,2.226,0,3,0,0,1,0
1854.41,8,933,38,0,730.92,2.537,2,2,0,0,0,0
1815.28,21,388,32,0,469.57,3.866,2,3,0,0,1,0
16269.03,4,883,22,2,761.99,21.351,13,28,1,1,1,1
738.42,12,1099,26,0,1305.94,0.565,0,0,0,0,0,0
1196.05,20,926,24,0,611.15,1.957,1,4,0,0,0,0
558.72,6,1620,28,1,1621.29,0.345,1,7,0,0,1,0
1707.73,9,467,29,0,942.53,1.812,3,5,0,1,0,0
1514.34,18,1544,35,0,2371.65,0.639,1,3,0,0,0,0
2597.68,21,1505,35,1,879.58,2.953,2,5,0,0,1,0
577.55,8,1059,31,0,1061.38,0.544,3,3,0,0,1,0
539.44,18,1725,28,0,326.21,1.654,2,4,0,0,0,0
1215.89,7,590,22,1,622.58,1.953,1,4,0,0,0,0
772.34,19,1272,28,0,692.32,1.116,1,3,0,0,0,0
1555.61,21,977,29,0,1829.28,0.85,0,3,0,0,0,0
1853.33,13,1081,25,1,600.83,3.085,0,6,0,0,0,0
2290.54,7,741,27,0,1460.06,1.569,0,2,0,0,1,0
927.15,9,1047,21,0,1585.16,0.585,1,3,0,0,0,0
1457.11,14,1523,23,2,535.73,2.72,1,2,0,0,0,0
675.65,19,716,34,0,1128.83,0.599,0,2,0,0,0,0
1011.78,14,1585,28,0,867.47,1.166,2,3,0,0,1,0
871.84,14,1603,28,0,1127.51,0.773,1,4,0,0,0,0
9656.81,4,1787,34,2,897.83,10.756,12,9,1,1,1,1
2448.31,22,120,22,1,726.14,3.372,0,0,0,0,0,0
429.17,19,370,27,2,508.26,0.844,1,6,0,0,0,0
895.39,8,1499,25,1,1322.18,0.677,0,1,0,0,0,0
924.8,9,1779,23,1,472.33,1.958,1,6,0,0,0,0
6034.69,4,1007,15,3,1299.06,4.645,13,14,1,1,0,1
491.05,10,348,22,3,668.88,0.734,2,3,0,0,1,0
761.7,18,1221,28,0,1699.23,0.448,2,4,0,0,0,0
646.99,22,145,28,1,1350.82,0.479,2,4,0,0,0,0
260.2,15,397,30,0,1292.02,0.201,0,3,0,0,0,0
1701.67,21,1523,31,0,888.05,1.916,3,4,1,0,0,0
400.03,13,865,29,0,1121.75,0.357,2,3,0,0,1,0
